Blood Pressure Measurement Data
Time(ms),Pressure(ADC)
0,1847
10,1845
20,1842
30,1838
40,1834
50,1829
60,1824
70,1819
80,1813
90,1807
100,1801
110,1794
120,1787
130,1780
140,1773
150,1765
160,1757
170,1749
180,1741
190,1732
200,1723
210,1714
220,1705
230,1696
240,1686
250,1676
260,1666
270,1656
280,1646
290,1635
300,1624
310,1613
320,1602
330,1590
340,1578
350,1566
360,1554
370,1542
380,1529
390,1516
400,1503
410,1490
420,1476
430,1462
440,1448
450,1434
460,1419
470,1404
480,1389
490,1374
500,1358
